transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2202-25_tr_02,Minister of Defence,"State Minister of National Security, Home Affairs and Disaster Management",Rakna Arakshana Lanka Ltd.,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_03,Minister of Defence,"State Minister of National Security, Home Affairs and Disaster Management",National Authority for the implementation of Chemical Weapons Convention,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_04,Minister of Defence,"State Minister of National Security, Home Affairs and Disaster Management",National Dangerous Drugs Control Board,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_05,Minister of Defence,"State Minister of National Security, Home Affairs and Disaster Management",Defence Services School,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_06,Minister of Defence,"State Minister of National Security, Home Affairs and Disaster Management",National Defence Fund,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_07,Minister of Defence,"State Minister of National Security, Home Affairs and Disaster Management",Defence Research and Development Centre,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_08,Minister of Defence,"State Minister of National Security, Home Affairs and Disaster Management",Sri Lanka Institute of National Defence Studies,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_09,Minister of Defence,"State Minister of National Security, Home Affairs and Disaster Management",Ranaviru Seva Authority,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_10,Minister of Defence,"State Minister of National Security, Home Affairs and Disaster Management",Api Wenuwen Api Fund,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_13,Presidential Secretariat - National Priority Programme,Minister of Technology,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_13,Presidential Secretariat - National Priority Programme,Minister of Technology,Information and Communication Technology Agency and Allied Institutions,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_14,Presidential Secretariat - National Priority Programme,Minister of Technology,Sri Lanka Computer Emergency Readiness Team,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_16,Presidential Secretariat - National Priority Programme,Minister of Technology,Sri Lanka Telecom and its Subsidiaries and Allied Institutions,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_16,"State Minister of Skills Development, Vocational Education, Research and Innovation",Minister of Technology,Industrial Technology Institute,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_17,"State Minister of Skills Development, Vocational Education, Research and Innovation",Minister of Technology,Sri Lanka Institute of Nano Technology (Pvt) Ltd.,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_18,"State Minister of Skills Development, Vocational Education, Research and Innovation",Minister of Technology,National Science and Technology Commission,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_19,"State Minister of Skills Development, Vocational Education, Research and Innovation",Minister of Technology,All Information Technology Parks,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_20,Minister of Trade,Minister of Technology,Sri Lanka Standard Institute,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_21,"State Minister of National Security, Home Affairs and Disaster Management",Minister of Technology,Department of Registration of Persons,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_23,"State Minister of Rattan, Brass, Pottery, Furniture and Rural Industrial Promotion","State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Ape Gama - Excluding Office Premises,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_25,"State Minister of National Security, Home Affairs and Disaster Management",Minister of Public Security,Sri Lanka Police,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_26,"State Minister of National Security, Home Affairs and Disaster Management",Minister of Public Security,National Police Academy,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_28,Minister of Defence,Minister of Public Security,Civil Security Department,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2202-25_tr_28,Minister of Defence,Minister of Public Security,Department of Multi-purpose Development Task Force,department,2020-11-20,Gotabaya Rajapaksa,Gotabaya Rajapaksa
