transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2270-14_tr_04,State Minister of Defence,State Minister of Disaster Management,National Disaster Management Council,department,2022-03-08,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2270-14_tr_05,State Minister of Defence,State Minister of Disaster Management,Disaster Management Centre,department,2022-03-08,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2270-14_tr_06,State Minister of Defence,State Minister of Disaster Management,National Disaster Relief Services Centre,department,2022-03-08,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2270-14_tr_07,State Minister of Defence,State Minister of Disaster Management,Department of Meteorology,department,2022-03-08,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2270-14_tr_08,State Minister of Defence,State Minister of Disaster Management,National Building Research Organization,department,2022-03-08,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2270-14_tr_09,"State Minister of Wildlife Protection, Adoption of safety measures including the construction of electrical fences and trenches and reforestation and forest resource development",Minister of Wildlife and Forest Conservation,Department of Forest Conservation,department,2022-03-08,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2270-14_tr_10,"State Minister of Wildlife Protection, Adoption of safety measures including the construction of electrical fences and trenches and reforestation and forest resource development",Minister of Wildlife and Forest Conservation,Department of Wildlife Conservation,department,2022-03-08,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2270-14_tr_11,"State Minister of Wildlife Protection, Adoption of safety measures including the construction of electrical fences and trenches and reforestation and forest resource development",Minister of Wildlife and Forest Conservation,Department of National Zoological Gardens,department,2022-03-08,Gotabaya Rajapaksa,Gotabaya Rajapaksa
