transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2283-34_tr_03,Minister of Defence,Minister of Technology and Investment Promotion,Department of Registration of Persons,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_04,Minister of Defence,Minister of Technology and Investment Promotion,Department of Immigration and Emigration,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_05,Minister of Defence,Minister of Technology and Investment Promotion,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_06,Minister of Defence,Minister of Technology and Investment Promotion,Information and Communication Technology Agency and Allied Institutions,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_07,Minister of Defence,Minister of Technology and Investment Promotion,Sri Lanka Computer Emergency Readiness Team,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_08,Minister of Defence,Minister of Technology and Investment Promotion,Sri Lanka Telecom and its Subsidiaries and Allied Institutions,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_09,Minister of Defence,Minister of Technology and Investment Promotion,Colombo Lotus Tower Management Company (Pvt.) Limited,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_10,Minister of Defence,Minister of Technology and Investment Promotion,Techno Park Development Company (Pvt.) Limited,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_11,Minister of Defence,Minister of Technology and Investment Promotion,Information Technology Parks (Jaffna & Mannar),department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_12,Minister of Defence,Minister of Technology and Investment Promotion,Industrial Technology Institute,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_13,Minister of Defence,Minister of Technology and Investment Promotion,Sri Lanka Institute of Nano Technology (Pvt.) Ltd.,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_14,Minister of Defence,Minister of Technology and Investment Promotion,Sri Lanka Standards Institute,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_15,Minister of Defence,Minister of Technology and Investment Promotion,Sri Lanka Institute of Biotechnology (Pvt.) Ltd.,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_16,Minister of Defence,Minister of Technology and Investment Promotion,Board of Investment of Sri Lanka,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_17,Minister of Defence,Minister of Technology and Investment Promotion,Colombo Port City Economic Commission,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_18,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",National Committee on Women,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_19,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",Sri Lanka Women's Bureau,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_20,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",Department of Probation and Childcare Services,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_21,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",National Child Protection Authority,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_22,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",Department of Samurdhi Development,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_23,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",National Social Development Institute,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_24,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",Rural Development Training and Research Institute,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_25,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",Social Security Board,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_26,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",National Council for Persons with Disabilities,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_27,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",National Secretariat for Persons with Disabilities,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_28,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",Department of Social Services,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_29,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",National Council for Elders and National Secretariat for Elders,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2283-34_tr_29,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services","Minister of Women, Child Affairs and Social Empowerment",Kidney Fund,department,2022-06-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa





