transaction_id,old,new,type,date
2458-65_tr_04,Sri Lankan Air Lines Limited and its subsidiaries,Sri Lankan Airlines and its subsidiaries ,department,2025-10-18
2458-65_tr_08,Ceylon Electricity Company,Lanka Electricity Company,department,2025-10-18
2458-65_tr_09,Lanka Electricity Company,Lanka Electricity Company (Pvt) Ltd,department,2025-10-18
2458-65_tr_20,National Institute of Fisheries and Nautical Engineering (Ocean University),Ocean University of Sri Lanka,department,2025-10-18
2458-65_tr_22,Sri Lanka State Trading Corporation,Sri Lanka State Trading (General) Corporation Ltd,department,2025-10-18
2458-65_tr_25,Ayurvedic College and Hospital Board,Ayurveda Education and Hospital Board,department,2025-10-18
2458-65_tr_56,Department of Community Water Supply,Department of National Community Water Supply,department,2025-10-18
