transaction_id,parent,parent_type,child,child_type,rel_type,date
2281-31_tr_10,Minister of Transport and Highways,minister,Bandula Gunawardena,citizen,AS_APPOINTED,2022-05-26
2281-31_tr_11,Minister of Mass Media,minister,Bandula Gunawardena,citizen,AS_APPOINTED,2022-05-26
2281-31_tr_12,Minister of Water Supply,minister,Keheliya Rambukwella,citizen,AS_APPOINTED,2022-05-26
2281-31_tr_13,Minister of Agriculture,minister,Amaraweera Mahinda,citizen,AS_APPOINTED,2022-05-26
2281-31_tr_14,Minister of Wildlife and Forest Resources Conservation,minister,Amaraweera Mahinda,citizen,AS_APPOINTED,2022-05-26
2281-31_tr_15,Minister of Industries,minister,Ramesh Pathirana,citizen,AS_APPOINTED,2022-05-26
2281-31_tr_16,"Minister of Buddhasasana, Religious and Cultural Affairs",minister,Vidura Wickramanayaka,citizen,AS_APPOINTED,2022-05-26
2281-31_tr_17,Minister of Irrigation,minister,Anuruddha Ranasinghe Arachchige Roshan,citizen,AS_APPOINTED,2022-05-26
2281-31_tr_18,Minister of Sports and Youth Affairs,minister,Anuruddha Ranasinghe Arachchige Roshan,citizen,AS_APPOINTED,2022-05-26
