transaction_id,old_parent,new_president_name,new_parent,new_president_name,child,type,date
2403-53_tr_03,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Office of the Chief of Defence Staff,department,2024-09-27
2403-53_tr_04,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Sri Lanka Army,department,2024-09-27
2403-53_tr_05,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Sri Lanka Navy,department,2024-09-27
2403-53_tr_06,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Sri Lanka Air Force,department,2024-09-27
2403-53_tr_07,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,State Intelligence Service,department,2024-09-27
2403-53_tr_08,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Civil Security Department,department,2024-09-27
2403-53_tr_09,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,National Cadet Corps,department,2024-09-27
2403-53_tr_10,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,National Authority for the Implementation of Chemical Weapons Convention,department,2024-09-27
2403-53_tr_11,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Sir John Kotelawala Defence University,department,2024-09-27
2403-53_tr_12,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Defence Services Command and Staff College,department,2024-09-27
2403-53_tr_13,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Miloda Institute - as a Faculty of Kotelawala Defence University,department,2024-09-27
2403-53_tr_14,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Defence Research and Development Centre,department,2024-09-27
2403-53_tr_15,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Institute of National Security Studies,department,2024-09-27
2403-53_tr_16,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,National Defence College,department,2024-09-27
2403-53_tr_17,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Rakna Arakshana Lanka Ltd.,department,2024-09-27
2403-53_tr_18,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Coast Guard Department of Sri Lanka,department,2024-09-27
2403-53_tr_19,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,National Defence Fund,department,2024-09-27
2403-53_tr_20,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Ranaviru Seva Authority,department,2024-09-27
2403-53_tr_21,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Api Wenuwen Api Fund,department,2024-09-27
2403-53_tr_22,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Department of Meteorology,department,2024-09-27
2403-53_tr_23,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,National Disaster Management Council,department,2024-09-27
2403-53_tr_24,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Disaster Management Centre,department,2024-09-27
2403-53_tr_25,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,National Disaster Relief Services Centre,department,2024-09-27
2403-53_tr_26,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,National Building Research Organization,department,2024-09-27
2403-53_tr_27,Minister of Technology,Ranil Wickremesinghe,Minister of Defence,Anura Kumara,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,department,2024-09-27
2403-53_tr_28,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of External Resources,department,2024-09-27
