transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2311-42_tr_01,Minister of Defence,"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Department of Multipurpose Development Task Force,department,2022-12-22,Ranil Wickremesinghe,Ranil Wickremesinghe
2311-42_tr_02,"Minister of Women, Child Affairs and Social Empowerment",Minister of Health,Kidney Fund,department,2022-12-22,Ranil Wickremesinghe,Ranil Wickremesinghe
2311-42_tr_03,Minister of Education,Minister of Industries,Vidatha Centres,department,2022-12-22,Ranil Wickremesinghe,Ranil Wickremesinghe
2311-42_tr_04,"Minister of Trade, Commerce and Food Security",Minister of Agriculture,Regional Economic Centres,department,2022-12-22,Ranil Wickremesinghe,Ranil Wickremesinghe
