transaction_id,old_parent,old_president_name,new_parent,new_president_name,child,type,date
2355-08_tr_02,Minister of Health,Ranil Wickremesinghe,Minister of Environment,Ranil Wickremesinghe,Keheliya Rambukwella,citizen,2023-10-23
2355-08_tr_03,Minister of Agriculture,Ranil Wickremesinghe,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,Mahinda Amaraweera,citizen,2023-10-23
2355-08_tr_04,Minister of Plantation Industries,Ranil Wickremesinghe,Minister of Health,Ranil Wickremesinghe,Ramesh Pathirana,citizen,2023-10-23
