transaction_id,old_parent,new_parent,child,type,date
2203-33_tr_03,"State Minister of Internal Security, Home Affairs and Disaster Management","State Minister of National Security, Home Affairs and Disaster Management",Chamal Rajapaksa,citizen,2020-11-26
2203-33_tr_04,State Minister of Provincial Councils and Local Government,Minister of Public Security,Sarath Weerasekara,citizen,2020-11-26
