transaction_id,parent,parent_type,child,child_type,rel_type,date,president
2203-33_tr_01,Ministry of Defence,minister,Gotabaya Rajapaksa,citizen,AS_APPOINTED,2020-11-26
2203-33_tr_02,Ministry of Technology,minister,Gotabaya Rajapaksa,citizen,AS_APPOINTED,2020-11-26
