transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2230-12_tr_06,Minister of Technology,State Minister of Digital Technology and Enterprise Development,Industrial Technology Institute,department,2021-06-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2230-12_tr_07,Minister of Technology,State Minister of Digital Technology and Enterprise Development,National Science and Technology Commission,department,2021-06-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2230-12_tr_08,Minister of Technology,State Minister of Digital Technology and Enterprise Development,All Information Technology Parks,department,2021-06-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2230-12_tr_09,Minister of Technology,State Minister of Digital Technology and Enterprise Development,Sri Lanka Standard Institute,department,2021-06-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2230-12_tr_10,Minister of Technology,State Minister of Digital Technology and Enterprise Development,Sri Lanka Institute of Biotechnology (Pvt.) Ltd.,department,2021-06-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
