transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2286-12_tr_04,Minister of Technology,Minister of Investment Promotion,Department of Immigration and Emigration,department,2022-06-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2286-12_tr_05,Minister of Technology,Minister of Investment Promotion,Colombo Lotus Tower Management Company (Pvt.) Limited,department,2022-06-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2286-12_tr_06,Minister of Technology,Minister of Investment Promotion,Techno Park Development Company (Pvt.) Limited,department,2022-06-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2286-12_tr_07,Minister of Technology,Minister of Investment Promotion,Information Technology Parks (Jaffna & Mannar),department,2022-06-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2286-12_tr_08,Minister of Technology,Minister of Investment Promotion,Board of Investment of Sri Lanka,department,2022-06-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2286-12_tr_09,Minister of Technology,Minister of Investment Promotion,Colombo Port City Economic Commission,department,2022-06-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
