transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2248-35_tr_01,State Minister of Money and Capital Market and State Enterprise Reforms,Minister of Finance,Department of Public Enterprises,department,2021-10-06,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2248-35_tr_02,State Minister of Money and Capital Market and State Enterprise Reforms,Minister of Finance,National Operations Centre,department,2021-10-06,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2248-35_tr_03,State Minister of Money and Capital Market and State Enterprise Reforms,Minister of Finance,Housing Development Finance Corporation,department,2021-10-06,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2248-35_tr_04,State Minister of Money and Capital Market and State Enterprise Reforms,Minister of Finance,State Mortgage and Investment Bank,department,2021-10-06,Gotabaya Rajapaksa,Gotabaya Rajapaksa
