transaction_id,parent,parent_type,child,child_type,rel_type,date
2411-10_tr_01,Anura Kumara,president,"Minister of Fisheries, Aquatic and Ocean Resources",minister,AS_MINISTER,2024-11-18
2411-10_tr_02,Anura Kumara,president,"Minister of Public Administration, Provincial Councils and Local Government",minister,AS_MINISTER,2024-11-18
2411-10_tr_03,Anura Kumara,president,Minister of Labour,minister,AS_MINISTER,2024-11-18
2411-10_tr_04,Anura Kumara,president,Minister of Science and Technology,minister,AS_MINISTER,2024-11-18
2411-10_tr_05,Anura Kumara,president,"Minister of Rural Development, Social Security and Community Empowerment",minister,AS_MINISTER,2024-11-18
2411-10_tr_06,Anura Kumara,president,Minister of Industry and Entrepreneurship Development,minister,AS_MINISTER,2024-11-18
2411-10_tr_07,Anura Kumara,president,Minister of Plantation and Community Infrastructure,minister,AS_MINISTER,2024-11-18
2411-10_tr_08,Anura Kumara,president,Minister of Youth Affairs and Sports,minister,AS_MINISTER,2024-11-18
