transaction_id,old,new,type,date,president
2411-10_tr_09,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","Minister of Agriculture, Livestock, Land and Irrigation",minister,2024-11-18,:AK
2411-10_tr_10,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Minister of Justice and National Integration,minister,2024-11-18,:AK
2411-10_tr_11,"Minister of Education, Science and Technology","Minister of Education, Higher Education and Vocational Education",minister,2024-11-18,:AK
2411-10_tr_12,"Minister of Women, Child and Youth Affairs and Sports",Minister of Women and Child Affairs,minister,2024-11-18,:AK
2411-10_tr_13,"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Minister of Trade, Commerce, Food Security and Cooperative Development",minister,2024-11-18,:AK
2411-10_tr_14,Minister of Health,Minister of Health and Mass Media,minister,2024-11-18,:AK
2411-10_tr_15,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media","Minister of Buddhasasana, Religious and Cultural Affairs",minister,2024-11-18,:AK
2411-10_tr_16,Minister of Public Security,Minister of Public Security and Parliamentary Affairs,minister,2024-11-18,:AK
2411-10_tr_17,Minister of Foreign Affairs,"Minister of Foreign Affairs, Foreign Employment and Tourism",minister,2024-11-18,:AK
2411-10_tr_18,"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Minister of Environment,minister,2024-11-18,:AK
2411-10_tr_19,"Minister of Rural and Urban Development, Housing and Construction","Minister of Urban Development, Construction and Housing",minister,2024-11-18,:AK
