transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2281-41_tr_01,State Minister of Defence,Minister of Defence,Rakna Arakshana Lanka Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_02,State Minister of Defence,Minister of Defence,Department of Immigration and Emigration,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_03,State Minister of Defence,Minister of Defence,National Authority for the implementation of Chemical Weapons Convention,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_04,State Minister of Defence,Minister of Defence,National Dangerous Drugs Control Board,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_05,State Minister of Defence,Minister of Defence,National Defence Fund,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_06,State Minister of Defence,Minister of Defence,Defence Services School,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_07,State Minister of Defence,Minister of Defence,Defence Research and Development Centre,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_08,State Minister of Defence,Minister of Defence,Ranaviru Seva Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_09,State Minister of Defence,Minister of Defence,Api Wenuwen Api Fund,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_10,State Minister of Defence,Minister of Defence,Institute of National Security Studies,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_11,State Minister of Defence,Minister of Defence,National Defence College,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_12,State Minister of Disaster Management,Minister of Defence,Department of Meteorology,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_13,State Minister of Disaster Management,Minister of Defence,National Disaster Management Council,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
