transaction_id,old,new,type,date
2194-74_tr_01,Institutions Operating with Guidance and Coordination at National Level for National Priorities,Presidential Secretariat - National Priority Programme,minister,2020-09-25
2194-74_tr_14,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development","State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and Business Development",minister,2020-09-25
2194-74_tr_15,"State Minister of Company Estate Reforms, Tea Estates related Crops, Tea Factories Modernization and Tea Export Promotion","State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",minister,2020-09-25
3194-74_tr_31,Department of Pensions,Department of Pensions Benefits Association,department,2020-09-25
