department
Office of the Chief of Defence Staff
Sri Lanka Army
Sri Lanka Navy
Sri Lanka Air Force
Sri Lanka Police
Department of Civil Security
State Intelligence Service
Ranaviru Seva Authority
Sir John Kotelawala Defence University
Defence Services Command and Staff College
Defence Services School
National Cadet Corps
National Defence Fund
Defence Research and Development Centre
Sri Lanka Institute of National Defence Studies
Coast Guard Department of Sri Lanka
Lanka Logistics Limited
Rakna Arakshana Lanka Ltd.
National Dangerous Drugs Control Board
Department of Immigration and Emigration
Department of Registration of Persons
National Media Centre
Secretariat for Non-Governmental Organizations
The Telecommunications Regulatory Commission of Sri Lanka
Information and Communication Technology Agency of Sri Lanka
Sri Lanka Computer Emergency Readiness Team
National Disaster Management Council
Disaster Management Centre
National Disaster Relief Services Centre
Department of Meteorology
National Building Research Organization
National Planning Department
General Treasury
Department of Fiscal Policy
Department of National Budget
Department of Management Services
Department of Public Enterprises
Department of External Resources
Department of Public Finance
Department of Treasury Operations
Department of Public Accounts
Department of Trade and Investment Policies
Department of Development Finance
Department of Information Technology Management
Office of Comptroller General
Department of Legal Affairs
Department of Project Management and Supervision
Department of Management Auditing
Department of Inland Revenue
Sri Lanka Customs
Department of Imports and Exports
Department of Excise
Department of Census and Statistics
Department of Valuation
Department of Registrar Companies
Welfare Benefits Board
Department of Commerce
Central Bank of Sri Lanka
Security and Exchange Commission of Sri Lanka
Sri Lanka Insurance Board
Credit Information Bureau
National Operations Centre
Public Service Mutual Benefits Association
Lady Lochore Fund
Tax Appeal Commission
"Strike, Riot, Civil Commotion and Terrorism Fund"
Sri Lanka Accounting and Auditing Standard Monitoring Board
Public Utilities Commission of Sri Lanka
Institute of Policy Studies
Sustainable Development Council
Hotel Developers (Lanka) PLC (PQ 143)
National Lotteries Board
Development Lotteries Board
All State Bank and their subsidiaries and related institutions
Sri Lanka Export Credit Insurance Corporation
National Insurance Trust Fund
Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies
Employees' Trust Fund
State Resources Management Corporation
Department of Buddhist Affairs
Buddhasasana Fund
Buddhist Renaissance Fund
International Buddhist Centre
Department of Hindu Religious and Cultural Affairs
Department of Christian Religious Affairs
Department of Muslim Religious and Cultural Affairs
Department of Cultural Affairs
Department of National Museums
Department of Archaeology
Tower Hall Theatre Foundation
Public Performance Board
National Arts Council
Gramodaya Folk Arts Centre
Ape Gama
