transaction_id,old_parent,new_parent,child,type,date,old_parent_pres,new_parent_pres
2398-40_tr_02,"Minister of Finance, Economic Stabilization and National Policies",Non Cabinet Minister of Development Projects,Department of Project Management and Monitoring,department,2024-08-23,:RW,:RW
2398-40_tr_03,"Minister of Finance, Economic Stabilization and National Policies",Non Cabinet Minister of Development Projects,Department of Information Technology Management,department,2024-08-23,:RW,:RW
