transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2226-17_tr_06,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion","State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",Sri Lanka Cashew Corporation,department,2021-05-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2226-17_tr_07,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion","State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",Lanka Sugar Company (Pvt.) Ltd.,department,2021-05-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2226-17_tr_08,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion","State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",Kantale Sugar Company Ltd.,department,2021-05-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2226-17_tr_09,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion","State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",Sugar Cane Research Institute,department,2021-05-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2226-17_tr_10,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion","State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",Galoya Plantation (Pvt.) Company,department,2021-05-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2226-17_tr_11,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion","State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",Spices and Allied Products Marketing Board,department,2021-05-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2226-17_tr_12,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion","State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",Department of Export Agriculture,department,2021-05-03,Gotabaya Rajapaksa,Gotabaya Rajapaksa
