transaction_id,parent,parent_type,child,child_type,rel_type,date
2277-53_tr_02,Minister of Technology,minister,Colombo Lotus Tower Management Company (Pvt.) Limited,department,AS_DEPARTMENT,2022-04-28
2277-53_tr_03,Minister of Technology,minister,Techno Park Development Company (Pvt.) Limited,department,AS_DEPARTMENT,2022-04-28
2277-53_tr_41,Gotabaya Rajapaksa,citizen,State Minister of Higher Education,minister,AS_MINISTER,2022-04-28
2277-53_tr_51,Gotabaya Rajapaksa,citizen,State Minister of Health,minister,AS_MINISTER,2022-04-28
2277-53_tr_84,Minister of Highways,minister,Sahasya Investments Limited,department,AS_DEPARTMENT,2022-04-28
2277-53_tr_90,Minister of Trade,minister,Sri Lanka State Trading (General) Corporation,department,AS_DEPARTMENT,2022-04-28
2277-53_tr_91,Minister of Trade,minister,Regional Economic Centres,department,AS_DEPARTMENT,2022-04-28
2277-53_tr_92,Gotabaya Rajapaksa,citizen,State Minister of Trade,minister,AS_MINISTER,2022-04-28
2277-53_tr_100,State Minister of Industries,minister,Ape Gama - Office Premises,department,AS_DEPARTMENT,2022-04-28
