transaction_id,parent,parent_type,child,child_type,rel_type,date
2154-55_tr_01,Gotabaya Rajapaksa,citizen,State Minister of Defence,minister,AS_MINISTER,2019-12-21
2154-55_tr_02,Gotabaya Rajapaksa,citizen,State Minister of Water Supply Facilities,minister,AS_MINISTER,2019-12-21
2154-55_tr_03,Gotabaya Rajapaksa,citizen,State Minister of Urban Development,minister,AS_MINISTER,2019-12-21
2154-55_tr_04,Gotabaya Rajapaksa,citizen,State Minister of Irrigation and Rural Development,minister,AS_MINISTER,2019-12-21
2154-55_tr_05,Gotabaya Rajapaksa,citizen,State Minister of Lands and Land Development,minister,AS_MINISTER,2019-12-21
2154-55_tr_06,Gotabaya Rajapaksa,citizen,State Minister of Economy and Policy Development,minister,AS_MINISTER,2019-12-21
2154-55_tr_07,Gotabaya Rajapaksa,citizen,State Minister of Public Administration and Home Affairs,minister,AS_MINISTER,2019-12-21
2154-55_tr_08,Gotabaya Rajapaksa,citizen,State Minister of Railway Services,minister,AS_MINISTER,2019-12-21
2154-55_tr_09,Gotabaya Rajapaksa,citizen,State Minister of Information and Communication Technology,minister,AS_MINISTER,2019-12-21
2154-55_tr_10,Gotabaya Rajapaksa,citizen,State Minister of Small & Medium Enterprise Development,minister,AS_MINISTER,2019-12-21
2154-55_tr_11,Gotabaya Rajapaksa,citizen,State Minister of Internal Trade and Consumer Welfare,minister,AS_MINISTER,2019-12-21
2154-55_tr_12,Gotabaya Rajapaksa,citizen,State Minister of International Co-operation,minister,AS_MINISTER,2019-12-21
2154-55_tr_13,Gotabaya Rajapaksa,citizen,State Minister of Indigenous Medicine Services,minister,AS_MINISTER,2019-12-21
2154-55_tr_14,Gotabaya Rajapaksa,citizen,State Minister of Education Services,minister,AS_MINISTER,2019-12-21
2154-55_tr_15,Gotabaya Rajapaksa,citizen,State Minister of Power,minister,AS_MINISTER,2019-12-21
2154-55_tr_16,Gotabaya Rajapaksa,citizen,State Minister of Youth Affairs,minister,AS_MINISTER,2019-12-21
2154-55_tr_17,Gotabaya Rajapaksa,citizen,State Minister of Energy,minister,AS_MINISTER,2019-12-21
2154-55_tr_18,Gotabaya Rajapaksa,citizen,State Minister of Industries,minister,AS_MINISTER,2019-12-21
2154-55_tr_19,Gotabaya Rajapaksa,citizen,State Minister of Public Management and Accounting,minister,AS_MINISTER,2019-12-21
2154-55_tr_20,Gotabaya Rajapaksa,citizen,State Minister of Investment Promotions,minister,AS_MINISTER,2019-12-21
2154-55_tr_21,Gotabaya Rajapaksa,citizen,State Minister of Tourism Promotion Affairs,minister,AS_MINISTER,2019-12-21
2154-55_tr_22,Gotabaya Rajapaksa,citizen,State Minister of Technology and Innovations,minister,AS_MINISTER,2019-12-21
2154-55_tr_23,Gotabaya Rajapaksa,citizen,State Minister of Human Rights and Law Reforms,minister,AS_MINISTER,2019-12-21
2154-55_tr_24,Gotabaya Rajapaksa,citizen,State Minister of Women and Child Affairs,minister,AS_MINISTER,2019-12-21
2154-55_tr_25,Gotabaya Rajapaksa,citizen,State Minister of Mahaweli Development,minister,AS_MINISTER,2019-12-21
2154-55_tr_26,Gotabaya Rajapaksa,citizen,State Minister of Export Agriculture,minister,AS_MINISTER,2019-12-21
2154-55_tr_27,Gotabaya Rajapaksa,citizen,State Minister of Agriculture,minister,AS_MINISTER,2019-12-21
2154-55_tr_28,Gotabaya Rajapaksa,citizen,State Minister of Development Banking and Loan Schemes,minister,AS_MINISTER,2019-12-21
2154-55_tr_29,Gotabaya Rajapaksa,citizen,State Minister of Ports Development Affairs,minister,AS_MINISTER,2019-12-21
2154-55_tr_30,Gotabaya Rajapaksa,citizen,State Minister of Transport Services Management,minister,AS_MINISTER,2019-12-21
2154-55_tr_31,Gotabaya Rajapaksa,citizen,State Minister of Highways Development,minister,AS_MINISTER,2019-12-21
2154-55_tr_32,Gotabaya Rajapaksa,citizen,State Minister of Wildlife Resources,minister,AS_MINISTER,2019-12-21
2154-55_tr_33,Gotabaya Rajapaksa,citizen,State Minister of Environment,minister,AS_MINISTER,2019-12-21
2154-55_tr_34,Gotabaya Rajapaksa,citizen,State Minister of Fisheries and Inland Fisheries Industry,minister,AS_MINISTER,2019-12-21
2154-55_tr_35,Gotabaya Rajapaksa,citizen,State Minister of Social Security,minister,AS_MINISTER,2019-12-21
2154-55_tr_36,Gotabaya Rajapaksa,citizen,State Minister of Community Development,minister,AS_MINISTER,2019-12-21
2154-55_tr_37,Gotabaya Rajapaksa,citizen,State Minister of Tea Industry Development,minister,AS_MINISTER,2019-12-21
2154-55_tr_38,Gotabaya Rajapaksa,citizen,State Minister of Housing,minister,AS_MINISTER,2019-12-21
