transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2215-20_tr_03,"State Minister of National Security, Home Affairs and Disaster Management",State Minister of Home Affairs,All District Secretariats and Divisional Secretariats,department,2021-02-16,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2215-20_tr_04,"State Minister of Land Management, State Enterprises Land and Property Development",Minister of Lands,Department of Land Use Policy Planning,department,2021-02-16,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2215-20_tr_05,"State Minister of Land Management, State Enterprises Land and Property Development",Minister of Lands,Department of Land Settlement,department,2021-02-16,Gotabaya Rajapaksa,Gotabaya Rajapaksa
